pair_id,query_id,query_text,article_id,article_title,article_text,kuhperdata_book,llm_verdict,llm_reasoning,expert_verdict,expert_notes
13,q110,"Saya punya masalah, saya dipaksa tanda tangan jual beli rumah padahal cuma mau pinjam nama buat ambil kredit, sekarang rumah saya dilelang dan saya rugi miliaran, apa yang harus saya lakukan?",1457,Pasal 1457,"Pasal 1457: Jual beli adalah suatu persetujuan dengan mana pihak yang satu mengikatkan dirinya untuk menyerahkan suatu barang, dan pihak yang lain untuk membayar harga yang dijanjikan.",Buku III (Perikatan),RELEVAN,"unsur: definisi jual beli (serahan barang dan pembayaran harga) | fakta: kasus secara eksplisit menyebutkan ""jual beli rumah"", sehingga unsur dasar hubungan hukum jual beli terpenuhi sebagai konteks sengketa | RELEVAN",,
14,q388,"Nenek saya jadi wali buat cucunya yang masih belasan tahun karena ayah dan ibu mereka sudah meninggal, tapi sekarang dia butuh izin jual tanah warisan untuk biaya sekolah dan hidup, apakah ini sah?",388,Pasal 388,"Pasal 388: Pada permulaan setiap perwalian, kecuali yang dilakukan oleh bapak atau ibu, Balai Harta Peninggalan, setelah mendengar wali pengawas, dan setelah memanggil keluarga sedarah atau semenda anak belum dewasa, menurut perkiraan dan dalam keseimbangan dengan harta kekayaan yang harus diurus, harus menentukan jumlah uang yang diperlukan untuk biaya hidup anak belum dewasa itu beserta biaya yang diperlukan guna mengurus harta kekayaan; semuanya itu tidak mengurangi kemungkinan campur tangan Pengadilan Negeri, bila Balai Harta Peninggalan tidak menyetujui pendapat sebagian besar keluarga anak belum dewasa yang hadir. Dalam akta yang sama harus ditentukan pula apakah wali dalam menjalankan pengurusan, diperkenankan pula dengan upah menggunakan seorang pengurus khusus atau lebih, yang akan mewakili wali dan di bawah tanggung jawab wali.",Buku I (Orang),RELEVAN,"unsur: penentuan biaya hidup anak dan biaya pengurusan harta oleh Balai Harta Peninggalan pada awal perwalian | fakta: kasus tentang izin jual tanah untuk biaya hidup/sekolah, menyentuh unsur ""biaya hidup anak"" dan ""pengurusan harta"" dalam konteks perwalian | RELEVAN",,
15,q439,"Saya punya adik yang belum dewasa dan orang tuanya sudah meninggal, jadi saya mau jual tanah warisan kita tapi dia nggak bisa tanda tangan sendiri, apa yang harus saya lakukan?",360,Pasal 360,"Pasal 360: Pengangkatan seorang wali atas permintaan keluarga sedarah anak yang belum dewasa, atas permintaan para kreditur atau pihak lain yang berkepentingan, atas permintaan Balai Harta Peninggalan, atas tuntutan jawatan Kejaksaan, ataupun karena jabatan, oleh Pengadilan Negeri yang di daerah hukumnya anak belum dewasa itu bertempat tinggal. Bila anak belum dewasa tidak mempunyai tempat tinggal di Indonesia atau bila tempat tinggalnya tidak diketahui, maka pengangkatan itu dilakukan oleh Pengadilan Negeri di tempat tinggalnya yang terakhir di Indonesia, sedangkan bila ini juga tidak ada, oleh Pengadilan Negeri di Jakarta. Pegawai Catatan Sipil wajib memberitahukan kepada Balai Harta Peninggalan semua peristiwa kematian yang harus dibukukan dalam daftar dengan keterangan apakah orang-orang yang meninggal itu meninggalkan anak belum dewasa, dan memberitahukan segala perlangsungan perkawinan yang akan dibukukan mengenai orang-orang tua yang mempunyai anak yang belum dewasa.",Buku I (Orang),RELEVAN,"unsur: pengangkatan wali, permintaan keluarga/kreditur/Balai, Pengadilan Negeri, kematian orang tua | fakta: unsur pengangkatan wali oleh Pengadilan Negeri setelah orang tua meninggal terpenuhi sebagai langkah prosedural sebelum menjual tanah | RELEVAN",,
16,q1499,"Saya punya hutang ke teman yang sudah saya akui lewat surat, tapi sekarang saya tidak bisa bayar lagi dan dia ingin menjual tanah saya untuk melunasinya, apa yang harus saya lakukan?",943,Pasal 943,"Pasal 943: Notaris yang menyimpan surat-surat wasiat diantara surat-surat aslinya, dalam bentuk apa pun juga, setelah meninggalnya pewaris, harus memberitahukannya kepada orang-orang yang berkepentingan.",Buku II (Benda),TIDAK_RELEVAN,"unsur: notaris, penyimpanan wasiat, pemberitahuan kepada berkepentingan | fakta: tidak ada unsur wasiat | TIDAK_RELEVAN",,
17,q685,"Saya punya anak belum dewasa yang punya tanah warisan dari ayah kandungnya, tapi saya sebagai ibu tunggal butuh uang untuk biaya sekolahnya, bolehkah saya jual tanah itu tanpa izin pengadilan?",394,Pasal 394,"Pasal 394: Bila wali hendak menjual barang-barang tak bergerak, maka surat permohonan yang diajukan oleh wali harus dilampiri sebuah daftar segala harta kekayaan anak belum dewasa dan dalam daftar itu harus disebutkan barang-barang yang hendak dijual. Pengadilan Negeri berwenang untuk mengizinkan penjualan barang-barang itu, baik barang-barang yang ditunjuk maupun barang-barang lain, yang menurut pertimbangan Pengadilan Negeri penjualan barang-barang itu tidak menimbulkan begitu banyak kerugian bagi anak belum dewasa.",Buku I (Orang),RELEVAN,"unsur: permohonan penjualan barang tak bergerak, daftar harta kekayaan, izin pengadilan | fakta: kasus membahas keinginan wali untuk menjual tanah (barang tak bergerak) milik anak; pasal ini mengatur prosedur permohonan izin pengadilan untuk penjualan tersebut | RELEVAN",,
18,q1840,"Istri saya meninggal dan saya ingin mengurus sertifikat tanah serta kredit atas nama anak-anak saya yang masih kecil, apakah saya bisa mewakili mereka tanpa izin khusus?",307,Pasal 307,"Pasal 307: Orang yang melakukan kekuasaan orang tua terhadap seorang anak yang masih di bawah umur, harus mengurus barang-barang kepunyaan anak tersebut, dengan tidak mengurangi ketentuan Pasal 237 dan alinea terakhir Pasal 319e. Ketentuan ini tidak berlaku terhadap barang-barang yang dihibahkan atau diwasiatkan kepada anak-anak, baik dengan akta antar yang sama-sama masih hidup maupun dengan surat wasiat, dengan ketentuan bahwa pengurusan atas barang-barang itu akan dilakukan oleh seorang pengurus atau lebih yang ditunjuk untuk itu di luar orang yang melakukan kekuasaan orang tua. Bila pengurusan yang diatur demikian, karena alasan apa pun juga sekiranya hapus, maka barang-barang termaksud beralih pengelolaannya kepada orang yang melakukan kekuasaan orang tua. Meskipun ada pengangkatan pengurus-pengurus khusus seperti di atas, orang yang melakukan kekuasaan orang tua mempunyai hak untuk minta perhitungan dan pertanggungjawaban dari orang-orang tersebut selama anaknya belum dewasa.",Buku I (Orang),RELEVAN,"unsur: kekuasaan orang tua, pengurusan barang anak, pengecualian untuk hibah/wasiat dengan pengurus khusus | fakta: kasus tentang pengurusan sertifikat/kredit anak oleh ayah (pemegang kekuasaan orang tua), namun tidak ada unsur hibah/wasiat dengan pengurus khusus yang menjadi inti sengketa. Namun, pasal ini mengatur dasar hukum pengurusan harta anak oleh orang tua. Unsur ""pengurusan barang anak"" terpenuhi. Unsur ""kekuasaan orang tua"" terpenuhi. | RELEVAN",,
19,q1867,"Kenapa nama orang tua saya di akta kelahiran beda sama di akta nikah mereka, dan bagaimana cara memperbaikinya agar data saya benar?",12,Pasal 12,"Pasal 12: Bila Pengadilan Negeri mengizinkan penggantian atau penambahan nama depan, maka surat penetapannya harus disampaikan kepada Pegawai Catatan Sipil tempat tinggal si pemohon, dan pegawai itu harus membukukannya dalam daftar yang sedang berjalan, dan mencatatnya pula pada margin akta kelahiran.",Buku I (Orang),RELEVAN,"unsur: izin Pengadilan Negeri untuk penggantian/pengambahan nama depan, pencatatan oleh Pegawai Catatan Sipil di margin akta kelahiran | fakta: kasus meminta perbaikan nama (yang bisa berupa penggantian nama depan) dan pencatatan di akta kelahiran | RELEVAN",,
20,q822,"Saya punya tanah yang sudah saya beli sejak lama dan punya sertifikat, tapi tiba-tiba ada sekelompok orang yang datang mengklaim tanah itu milik mereka berdasarkan surat garapan yang ternyata tidak sah, dan mereka sempat mencoba menduduki lahan saya serta memasang plang nama mereka, apakah tindakan mereka ini benar-benar melanggar hak saya?",381,Pasal 381,"Pasal 381: Pemecatan seorang wali dilakukan oleh Pengadilan Negeri tempat tinggalnya atau, bila tempat tinggalnya tidak ada, oleh Pengadilan Negeri tempat tinggal terakhir, atas permohonan wali pengawas, atas permohonan salah satu keluarga sedarah atau keluarga semenda anak belum dewasa sampai dengan derajat keempat, atas permohonan dewan perwalian, atau atas tuntutan Kejaksaan. Pemecatan bapak atau ibu yang diangkat menjadi wali setelah adanya perceraian, dilakukan oleh Pengadilan Negeri yang mengadili gugatan perceraian. Permintaan atau tuntutan itu harus memuat peristiwa-peristiwa dan keadaan-keadaan yang merupakan dasarnya pula harus memuat daftar nama orang tua wali dan wali pengawas serta tempat kediaman dan tempat tinggal mereka, sejauh ini diketahui, nama dan tempat tinggal keluarga sedarah atau keluarga semenda yang menurut Pasal 333 harus dipanggil, demikian pula nama dan tempat tinggal saksi-saksi yang kiranya dapat menguatkan peristiwa yang dikemukakan dalam permohonan atau tuntutan itu. Kecuali jika permohonan atau tuntutan itu beserta surat-surat yang dilampirkan untuk menguatkannya, harus segera dikirim oleh panitera kepada dewan tersebut. Pada surat permohonan atau tuntutan itu, oleh panitera Pengadilan Negeri dicatat hari masuknya.",Buku I (Orang),TIDAK_RELEVAN,"unsur: pemecatan wali, permohonan, Pengadilan Negeri | fakta: tidak ada unsur perwalian | TIDAK_RELEVAN",,
21,q315,"Saya punya anak angkat yang baru berusia 15 tahun dan ibunya sudah meninggal, sementara ayahnya sakit-sakitan. Bagaimana cara saya menjual tanah milik mereka untuk biaya hidup dan sekolahnya tanpa melanggar aturan?",298,Pasal 298,"Pasal 298: Setiap anak, berapa pun juga umurnya, wajib menghormati dan menghargai orang tuanya. Orang tua wajib memelihara dan mendidik anak-anak mereka yang masih di bawah umur. Kehilangan kekuasaan orang tua atau kekuasaan wali tidak membebaskan mereka dari kewajiban untuk memberi tunjangan menurut besarnya pendapat mereka guna membiayai pemeliharaan dan pendidikan anak-anak mereka itu. Bagi yang sudah dewasa berlaku ketentuan-ketentuan yang terdapat dalam Bagian 3 bab ini.",Buku I (Orang),RELEVAN,"unsur: kewajiban anak menghormati orang tua, kewajiban orang tua memelihara/mendidik anak di bawah umur, tunjangan | fakta: kasus secara eksplisit menyebutkan tujuan penjualan tanah adalah untuk ""biaya hidup dan sekolahnya"" (pemeliharaan dan pendidikan). Pasal ini menetapkan kewajiban hukum orang tua/wali untuk membiayai pemeliharaan dan pendidikan anak di bawah umur. Ini adalah dasar hukum (causa) yang membenarkan penggunaan harta anak untuk kepentingan hidupnya sendiri, sehingga penjualan tanah untuk tujuan ini tidak melanggar aturan (selama prosedur perwalian dipenuhi). Unsur ""kewajiban memelihara dan mendidik"" dan ""biaya pemeliharaan"" terpenuhi dalam fakta | RELEVAN",,
22,q1272,"Saya sudah menyerahkan sertifikat tanah sebagai pembayaran jasa konsultasi hukum, tapi kenapa mereka sampai menjual tanah itu ke orang lain dan tidak mau mengurus peralihan hak miliknya secara resmi?",1849,Pasal 1849,"Pasal 1849: Bila kreditur secara sukarela menerima suatu barang tak bergerak atau barang lain sebagai pembayaran utang pokok, maka penanggung dibebaskan dari tanggungannya, sekalipun barang itu kemudian harus diserahkan oleh kreditur kepada orang lain berdasarkan putusan Hakim untuk kepentingan pembayaran utang tersebut.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: kreditur menerima barang sebagai pembayaran utang (datio in solutum), pembebasan penanggung | fakta: kasus melibatkan penyerahan sertifikat sebagai pembayaran jasa, namun tidak ada unsur penanggung (jaminan) yang dibebaskan | TIDAK_RELEVAN",,
23,q233,"Ayah saya meninggal, sekarang saya anak yang belum dewasa ingin menjual tanah warisan bersama dengan izin siapa ya?",394,Pasal 394,"Pasal 394: Bila wali hendak menjual barang-barang tak bergerak, maka surat permohonan yang diajukan oleh wali harus dilampiri sebuah daftar segala harta kekayaan anak belum dewasa dan dalam daftar itu harus disebutkan barang-barang yang hendak dijual. Pengadilan Negeri berwenang untuk mengizinkan penjualan barang-barang itu, baik barang-barang yang ditunjuk maupun barang-barang lain, yang menurut pertimbangan Pengadilan Negeri penjualan barang-barang itu tidak menimbulkan begitu banyak kerugian bagi anak belum dewasa.",Buku I (Orang),RELEVAN,"unsur: permohonan penjualan barang tak bergerak, lampiran daftar harta kekayaan, izin Pengadilan Negeri | fakta: kasus ingin menjual tanah (tak bergerak); unsur permohonan izin penjualan barang tak bergerak terpenuhi | RELEVAN",,
24,q855,Kenapa tetangga saya berani bikin septic tank dan bangunan di atas tanah saya padahal sudah saya tegang berkali-kali?,655,Pasal 655,"Pasal 655: Barangsiapa menyuruh menggali sebuah sumur, selokan atau kakus di tempat yang berdekatan dengan tembok batas milik bersama atau bukan milik bersama, atau hendak mendirikan pipa asap, tempat perapian, dapur atau tempat masak di tempat yang demikian, atau membuat kandang, tempat rabuk, gudang, gudang garam, tempat penyimpanan bahan keras atau bangunan yang merugikan dan membahayakan, maka ia wajib membuat jarak antara tembok dengan bangunan tersebut, sebagaimana ditetapkan dalam peraturan khusus atau menurut kebiasaan tentang hal itu, ataupun ia wajib mengusahakan bangunan itu sedemikian rupa menurut peraturan dan kebiasaan yang ditentukan untuk itu agar tidak menimbulkan kerugian bagi pekarangan-pekarangan yang berdekatan.",Buku II (Benda),RELEVAN,"unsur: menggali sumur/kakus/septic tank dekat tembok batas, wajib menjaga jarak/keamanan agar tidak merugikan | fakta: kasus menyebutkan ""septic tank"". Pasal 655 mengatur khusus tentang pembuatan kakus/septic tank dan jaraknya agar tidak merugikan tetangga. Ini sangat relevan karena salah satu objek sengketa adalah septic tank. Unsur ""membuat kakus/septic tank"" dan ""kerugian/membahayakan"" (potensi pencemaran/kerusakan) tersentuh. | RELEVAN",,
25,q1722,"Saya punya hutang ke teman sebesar 100 juta yang harus dibayar Maret lalu, tapi saya sudah diingatkan berkali-kali dan tetap tidak bisa melunasinya, apakah saya bisa dipaksa menjual rumah saya untuk menutupi hutang itu?",1213,Pasal 1213,"Pasal 1213: Pada waktu mengadakan pengaturan urutan tingkat, akan diperintahkan pencoretan pendaftaran-pendaftaran yang tidak mendapat urutan tingkat yang menguntungkan. Pendaftaran demikian yang hanya sebagian dapat diikutsertakan secara menguntungkan, hanya dapat dipertahankan untuk bagian itu saja sampai pada saat pembayaran, yang langsung dapat ditagih oleh kreditur, tanpa mengingat apakah piutang itu sudah dapat ditagih atau belum. Tentang piutang-piutang yang jumlah seluruhnya mendapat urutan tingkat yang menguntungkan, pendaftarannya akan dipertahankan, dan pembelinya tetap terikat pada kewajiban-kewajiban yang sama mendapat ketentuan-ketentuan mendapatkan waktu dan penundaan-penundaan yang sama, seperti pembelian yang semula.",Buku II (Benda),TIDAK_RELEVAN,"unsur: urutan tingkat hipotek, pencoretan pendaftaran, pembayaran kreditur hipotek | fakta: kasus tidak menyebutkan adanya hipotek atau pendaftaran jaminan | TIDAK_RELEVAN",,
26,q550,"Saya sudah pisah dari suami saya sejak 2015 karena dia tidak peduli sama sekali, tidak nafkahi anak-anak, dan sering mabuk, dan sekarang dia tidak mau hadir di pengadilan untuk menyelesaikan masalah ini, apa yang harus saya lakukan?",202,Pasal 202,"Pasal 202: Bila pihak tergugat menyetujui tuntutan, Pengadilan Negeri harus memerintahkan, agar suami isteri itu secara pribadi bersama-sama menghadap seorang atau lebih hakim anggota, yang akan berusaha mendamaikan mereka. Bila usaha itu tidak berhasil, Hakim harus memerintahkan untuk kembali lagi, paling cepat tiga bulan dan paling lambat enam bulan setelah pertama kali menghadap. Bila ada alasan yang sah untuk tidak menghadap maka anggota atau para anggota yang ditunjuk itu harus pergi ke rumah suami isteri itu. Bila salah seorang dari suami isteri, atau kedua-duanya, bertempat tinggal di luar daerah hukum Pengadilan Negeri yang kepadanya permohonan diajukan, maka Pengadilan Negeri itu boleh meminta Pengadilan Negeri yang di daerah hukumnya kedua suami isteri itu bertempat tinggal untuk melakukan tindakan-tindakan tersebut dalam tiga alinea terdahulu. Pengadilan Negeri ini akan membuat berita acara tentang tindakan-tindakan yang dilakukannya dan segera mengirimkannya kepada Pengadilan Negeri tersebut pertama. Bila salah seorang dan suami isteri, atau kedua-duanya bertempat tinggal di luar Indonesia, Pengadilan Negeri boleh meminta kepada seorang pejabat Pengadilan di negara tempat mereka berdiam, untuk melakukan tindakan-tindakan tersebut dalam alinea satu dan dua, atau memerintahkannya kepada Pegawai Perwakilan Indonesia di tempat tinggal suami isteri itu. Berita Acara mengenai hal itu dikirimkan kepada Pengadilan Negeri itu.",Buku I (Orang),RELEVAN,"unsur: ikhtiar perdamaian, kehadiran suami-istri, alasan sah tidak hadir, pemanggilan di luar daerah/negeri | fakta: suami tidak mau hadir di pengadilan, unsur ""alasan sah untuk tidak menghadap"" dan prosedur pemanggilan/perdamaian menjadi pokok pembahasan untuk mengatasi ketidakhadiran tergugat | RELEVAN",,
27,q979,"Suami saya meninggal dunia, sekarang saya otomatis jadi wali buat dua anak kita yang masih kecil, tapi saya butuh izin resmi buat jual tanah peninggalan mereka demi kepentingan mereka, gimana cara mengurusnya?",396,Pasal 396,"Pasal 396: Pengadilan Negeri boleh mengizinkan penjualan di bawah tangan suatu barang tak bergerak dalam hal-hal yang luar biasa dan bila kepentingan anak belum dewasa menghendakinya. Izin itu tidak akan diberikan, kecuali atas permintaan wali yang harus disertai alasan-alasannya dan dengan persetujuan bersama dari wali pengawas dan keluarga sedarah atau semenda. Bila keluarga sedarah atau semenda tidak semua datang menghadap atas panggilan, maka cukup persetujuan bersama dari mereka yang datang. Barang tidak bergerak itu tidak boleh dijual dengan harga yang lebih rendah dari harga yang sebelum pemberian izin telah ditaksir oleh tiga orang ahli yang diangkat oleh Pengadilan Negeri.",Buku I (Orang),RELEVAN,"unsur: izin Pengadilan Negeri untuk penjualan barang tak bergerak (tanah) anak belum dewasa, alasan luar biasa, kepentingan anak, persetujuan wali pengawas & keluarga | fakta: kasus secara spesifik menanyakan cara mengurus izin resmi untuk jual tanah (barang tak bergerak) milik anak di bawah umur demi kepentingan mereka. Unsur-unsur pasal (izin PN, barang tak bergerak, anak belum dewasa, kepentingan anak) sepenuhnya dibahas/diminta dalam fakta kasus | RELEVAN",,
